date,opponent,set,to_target,off_target,pass_error,total_passes,pass_avg,weighted_pass_avg,perfect_pass_avg,pass_efficiency,set_outcome,score_diff,our_score,opponent_score,ace,good_serve,serve_error,total_serves,serve_avg,ace_pct,error_pct,kill,hit_attempt,hit_error,total_hits,kill_pct,kill_efficiency,dig_to_swing,ppass_to_swing
8/12/2021,hillsboro,1,34.0,14.0,3.0,51.0,0.9411764705882353,1.607843137254902,0.6666666666666666,0.8823529411764706,W,-3.0,25,28.0,7.0,12.0,9.0,28.0,0.6785714285714286,0.25,0.32142857142857145,11.0,4.0,2.0,17.0,0.6470588235294118,0.5294117647058824,0.3541666666666667,0.5
8/12/2021,hillsboro,2,40.0,13.0,0.0,53.0,1.0,1.7547169811320755,0.7547169811320755,1.0,W,7.0,25,18.0,6.0,9.0,2.0,17.0,0.8823529411764706,0.35294117647058826,0.11764705882352941,17.0,4.0,4.0,25.0,0.68,0.52,0.4716981132075472,0.625
8/14/2021,cks,1,15.0,10.0,5.0,30.0,0.8333333333333334,1.3333333333333333,0.5,0.6666666666666666,W,9.0,25,16.0,8.0,15.0,1.0,24.0,0.9583333333333334,0.3333333333333333,0.041666666666666664,8.0,10.0,4.0,22.0,0.36363636363636365,0.18181818181818182,0.88,1.4666666666666666
8/14/2021,cks,2,20.0,8.0,6.0,34.0,0.8235294117647058,1.411764705882353,0.5882352941176471,0.6470588235294118,L,-6.0,19,25.0,0.0,14.0,6.0,20.0,0.7,0.0,0.3,11.0,9.0,8.0,28.0,0.39285714285714285,0.10714285714285714,1.0,1.4
8/14/2021,cks,3,20.0,3.0,5.0,28.0,0.8214285714285714,1.5357142857142858,0.7142857142857143,0.6428571428571429,W,2.0,15,13.0,2.0,12.0,0.0,14.0,1.0,0.14285714285714285,0.0,5.0,10.0,4.0,19.0,0.2631578947368421,0.05263157894736842,0.8260869565217391,0.95
8/14/2021,heritage,1,23.0,2.0,1.0,26.0,0.9615384615384616,1.8461538461538463,0.8846153846153846,0.9230769230769231,W,4.0,25,21.0,5.0,17.0,2.0,24.0,0.9166666666666666,0.20833333333333334,0.08333333333333333,5.0,4.0,10.0,19.0,0.2631578947368421,-0.2631578947368421,0.76,0.8260869565217391
8/14/2021,heritage,2,24.0,18.0,7.0,49.0,0.8571428571428571,1.346938775510204,0.4897959183673469,0.7142857142857143,L,-2.0,23,25.0,5.0,18.0,2.0,25.0,0.92,0.2,0.08,9.0,13.0,8.0,30.0,0.3,0.03333333333333333,0.7142857142857143,1.25
8/14/2021,heritage,3,14.0,5.0,4.0,23.0,0.8260869565217391,1.434782608695652,0.6086956521739131,0.6521739130434783,W,4.0,15,11.0,4.0,9.0,3.0,16.0,0.8125,0.25,0.1875,4.0,11.0,1.0,16.0,0.25,0.1875,0.8421052631578947,1.1428571428571428
8/14/2021,mill creek,1,10.0,12.0,4.0,26.0,0.8461538461538461,1.2307692307692308,0.38461538461538464,0.6923076923076923,L,-16.0,9,25.0,3.0,3.0,2.0,8.0,0.75,0.375,0.25,1.0,6.0,3.0,10.0,0.1,-0.2,0.45454545454545453,1.0
8/14/2021,mill creek,2,21.0,9.0,5.0,35.0,0.8571428571428571,1.457142857142857,0.6,0.7142857142857143,L,-16.0,9,25.0,1.0,6.0,0.0,7.0,1.0,0.14285714285714285,0.0,4.0,14.0,1.0,19.0,0.21052631578947367,0.15789473684210525,0.6333333333333333,0.9047619047619048
8/14/2021,page,1,25.0,13.0,5.0,43.0,0.8837209302325582,1.4651162790697674,0.5813953488372093,0.7674418604651163,L,-2.0,24,26.0,3.0,14.0,8.0,25.0,0.68,0.12,0.32,3.0,21.0,1.0,25.0,0.12,0.08,0.6578947368421053,1.0
8/14/2021,page,2,25.0,12.0,7.0,44.0,0.8409090909090909,1.4090909090909092,0.5681818181818182,0.6818181818181818,L,-9.0,16,25.0,2.0,11.0,3.0,16.0,0.8125,0.125,0.1875,3.0,16.0,4.0,23.0,0.13043478260869565,-0.043478260869565216,0.6216216216216216,0.92
8/14/2021,spring station,1,18.0,6.0,6.0,30.0,0.8,1.4,0.6,0.6,L,-8.0,17,25.0,5.0,5.0,5.0,15.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,3.0,6.0,2.0,11.0,0.2727272727272727,0.09090909090909091,0.4583333333333333,0.6111111111111112
8/14/2021,spring station,2,18.0,8.0,7.0,33.0,0.7878787878787878,1.3333333333333333,0.5454545454545454,0.5757575757575758,L,-3.0,22,25.0,5.0,14.0,3.0,22.0,0.8636363636363636,0.22727272727272727,0.13636363636363635,6.0,9.0,6.0,21.0,0.2857142857142857,0.0,0.8076923076923077,1.1666666666666667
8/18/2021,spring station,1,17.0,8.0,5.0,30.0,0.8333333333333334,1.4,0.5666666666666667,0.6666666666666666,W,10.0,25,15.0,7.0,14.0,3.0,24.0,0.875,0.2916666666666667,0.125,1.0,8.0,3.0,12.0,0.08333333333333333,-0.16666666666666666,0.48,0.7058823529411765
8/18/2021,spring station,2,16.0,4.0,6.0,26.0,0.7692307692307693,1.3846153846153846,0.6153846153846154,0.5384615384615384,L,-6.0,19,25.0,3.0,9.0,5.0,17.0,0.7058823529411765,0.17647058823529413,0.29411764705882354,1.0,4.0,4.0,9.0,0.1111111111111111,-0.3333333333333333,0.45,0.5625
8/18/2021,spring station,3,13.0,2.0,5.0,20.0,0.75,1.4,0.65,0.5,L,-7.0,8,15.0,0.0,7.0,1.0,8.0,0.875,0.0,0.125,2.0,4.0,2.0,8.0,0.25,0.0,0.5333333333333333,0.6153846153846154
8/23/2021,brentwood,1,3.0,11.0,9.0,23.0,0.6086956521739131,0.7391304347826086,0.13043478260869565,0.21739130434782608,L,-15.0,10,25.0,1.0,3.0,3.0,7.0,0.5714285714285714,0.14285714285714285,0.42857142857142855,2.0,2.0,0.0,4.0,0.5,0.5,0.2857142857142857,1.3333333333333333
8/23/2021,brentwood,2,6.0,10.0,9.0,25.0,0.64,0.88,0.24,0.28,L,-3.0,22,25.0,11.0,4.0,3.0,18.0,0.8333333333333334,0.6111111111111112,0.16666666666666666,5.0,2.0,2.0,9.0,0.5555555555555556,0.3333333333333333,0.5625,1.5
8/25/2021,mill creek,1,24.0,11.0,3.0,38.0,0.9210526315789473,1.5526315789473684,0.631578947368421,0.8421052631578947,L,-9.0,16,25.0,4.0,9.0,0.0,13.0,1.0,0.3076923076923077,0.0,1.0,10.0,2.0,13.0,0.07692307692307693,-0.07692307692307693,0.37142857142857144,0.5416666666666666
8/25/2021,mill creek,2,8.0,14.0,8.0,30.0,0.7333333333333333,1.0,0.26666666666666666,0.4666666666666667,L,-3.0,22,25.0,2.0,14.0,4.0,20.0,0.8,0.1,0.2,4.0,4.0,0.0,8.0,0.5,0.5,0.36363636363636365,1.0
8/30/2021,page,1,19.0,27.0,3.0,49.0,0.9387755102040817,1.3265306122448979,0.3877551020408163,0.8775510204081632,L,-3.0,22,25.0,2.0,16.0,4.0,22.0,0.8181818181818182,0.09090909090909091,0.18181818181818182,13.0,3.0,0.0,16.0,0.8125,0.8125,0.34782608695652173,0.8421052631578947
8/30/2021,page,2,13.0,9.0,15.0,37.0,0.5945945945945946,0.9459459459459459,0.35135135135135137,0.1891891891891892,L,-10.0,15,25.0,3.0,8.0,4.0,15.0,0.7333333333333333,0.2,0.26666666666666666,1.0,4.0,2.0,7.0,0.14285714285714285,-0.14285714285714285,0.3181818181818182,0.5384615384615384
8/9/2021,sunset,1,51.0,13.0,14.0,78.0,0.8205128205128205,1.4743589743589745,0.6538461538461539,0.6410256410256411,W,3.0,25,22.0,9.0,17.0,4.0,30.0,0.8666666666666667,0.3,0.13333333333333333,6.0,11.0,3.0,20.0,0.3,0.15,0.3125,0.39215686274509803
8/9/2021,sunset,2,49.0,22.0,11.0,82.0,0.8658536585365854,1.4634146341463414,0.5975609756097561,0.7317073170731707,W,6.0,25,19.0,8.0,15.0,5.0,28.0,0.8214285714285714,0.2857142857142857,0.17857142857142858,7.0,15.0,3.0,25.0,0.28,0.16,0.352112676056338,0.5102040816326531
9/13/2021,heritage,1,22.0,17.0,8.0,47.0,0.8297872340425532,1.297872340425532,0.46808510638297873,0.6595744680851063,W,13.0,25,12.0,8.0,17.0,0.0,25.0,1.0,0.32,0.0,3.0,4.0,0.0,7.0,0.42857142857142855,0.42857142857142855,0.1794871794871795,0.3181818181818182
9/13/2021,heritage,2,29.0,20.0,12.0,61.0,0.8032786885245902,1.278688524590164,0.47540983606557374,0.6065573770491803,W,8.0,25,17.0,1.0,16.0,1.0,18.0,0.9444444444444444,0.05555555555555555,0.05555555555555555,10.0,16.0,1.0,27.0,0.37037037037037035,0.3333333333333333,0.5510204081632653,0.9310344827586207
9/15/2021,sunset,1,16.0,17.0,10.0,43.0,0.7674418604651163,1.1395348837209303,0.37209302325581395,0.5348837209302325,L,-2.0,24,26.0,5.0,12.0,4.0,21.0,0.8095238095238095,0.23809523809523808,0.19047619047619047,4.0,11.0,6.0,21.0,0.19047619047619047,-0.09523809523809523,0.6363636363636364,1.3125
9/15/2021,sunset,2,19.0,14.0,6.0,39.0,0.8461538461538461,1.3333333333333333,0.48717948717948717,0.6923076923076923,L,-5.0,20,25.0,3.0,12.0,2.0,17.0,0.8823529411764706,0.17647058823529413,0.11764705882352941,3.0,14.0,3.0,20.0,0.15,0.0,0.6060606060606061,1.0526315789473684
9/2/2021,woodland,1,28.0,15.0,7.0,50.0,0.86,1.42,0.56,0.72,W,19.0,25,6.0,10.0,9.0,2.0,21.0,0.9047619047619048,0.47619047619047616,0.09523809523809523,7.0,3.0,2.0,12.0,0.5833333333333334,0.4166666666666667,0.27906976744186046,0.42857142857142855
9/2/2021,woodland,2,42.0,20.0,11.0,73.0,0.8493150684931506,1.4246575342465753,0.5753424657534246,0.6986301369863014,W,2.0,25,23.0,9.0,12.0,3.0,24.0,0.875,0.375,0.125,5.0,8.0,2.0,15.0,0.3333333333333333,0.2,0.24193548387096775,0.35714285714285715
9/8/2021,grassland,1,31.0,21.0,6.0,58.0,0.896551724137931,1.4310344827586208,0.5344827586206896,0.7931034482758621,W,8.0,25,17.0,4.0,15.0,3.0,22.0,0.8636363636363636,0.18181818181818182,0.13636363636363635,6.0,17.0,3.0,26.0,0.23076923076923078,0.11538461538461539,0.5,0.8387096774193549
9/8/2021,grassland,2,28.0,19.0,10.0,57.0,0.8245614035087719,1.3157894736842106,0.49122807017543857,0.6491228070175439,W,12.0,25,13.0,2.0,22.0,1.0,25.0,0.96,0.08,0.04,3.0,1.0,2.0,6.0,0.5,0.16666666666666666,0.1276595744680851,0.21428571428571427
